coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Prowler (roller coaster),"3,074 ft ",51.2 mph ,Worlds of Fun,Operating,2009,Wood,Great Coasters International,Custom,102.3 ft,0,Chain Lift,$8 million,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,Africa,2:30,850 riders per hour,,,,85.9Â ft (26.2Â m),51.2 mph ,82.4 km/h,51.2,mph,51.2,102.3,ft,,0,
Steel Eel,"3,700 ft",65 mph,SeaWorld San Antonio,Operating,1999,Steel,D. H. Morgan Manufacturing,Custom,150 ft,0,Chain,,2 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,,1:40,1200 riders per hour,3.5,Steve Okamoto,60Â°,150Â ft (46Â m),65 mph ,105 km/h,65,mph,65,150,ft,,0,3.5
Thunder Run (Kentucky Kingdom),"2,850 ft",53 mph,Kentucky Kingdom,Operating,1990,Wood,Dinn Corporation,Custom,90 ft ,0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:54,,,Curtis D. SummersJohn Fetterman,,74Â ft (23Â m),53 mph ,85 km/h,53,mph,53,90,ft,,0,
Timber Wolf (roller coaster),"4,260 ft",53 mph,Worlds of Fun,Operating,1989,Wood,Dinn Corporation,Custom,100 ft,0,Chain Lift,$3 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Americana,2 min 13 sec,905 riders per hour,,Curtis D. Summers,,95Â ft (29Â m),53 mph ,85 km/h,53,mph,53,100,ft,,0,
Twister II,"4,640 ft",55 mph,Elitch Gardens,Operating,1995,Wood,Hensel Phelps Construction,custom,100 ft,0,Chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,2:17,1200 riders per hour,3.1,John Pierce,56Â°,91Â ft (28Â m),55 mph ,89 km/h,55,mph,55,100,ft,,0,3.1
West Coast Racers,"4,000 ft",55 mph,Six Flags Magic Mountain,Operating,2020,Steel Launched+G740,Premier Rides,Custom,67 ft ,4,LSM launch,,3 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,The Underground,3:00,,,,,,55 mph ,89 km/h,55,mph,55,67,ft,,4,
White Lightning (roller coaster),"2,032 ft",44.3 mph,Fun Spot America - Orlando,Operating,2013,Wood,Great Coasters International,Custom,69.7 ft,0,Chain lift hill,$3.5 million,2 trains with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,1:15,,,,58Â°,67.2Â ft (20.5Â m),44.3 mph ,71.3 km/h,44.3,mph,44.3,69.7,ft,,0,
The Riddler Mindbender,"3,253 ft",50 mph,Six Flags Over Georgia,Operating,1978,Steel,Anton Schwarzkopf,Custom,80 ft,2,Chain lift hill,$2.8 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Gotham City,2:33,1200 riders per hour,,Werner Stengel,62Â°,,50 mph ,80 km/h,50,mph,50,80,ft,,2,
Carolina Cyclone,"2,100 ft",41 mph,Carowinds,Operating,1980,Steel,Arrow Dynamics,Custom Looping Coaster,95 ft ,4,Chain lift hill,"$2,000,000 ",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Carolina Boardwalk,1:30,"1,600 riders per hour",3.5,Ron Toomer,53Â°,65Â ft (20Â m),41 mph ,66 km/h,41,mph,41,95,ft,,4,3.5
Looping Star (Nagashima Spa Land),"1,942.3 ft",40 mph,Nagashima Spa Land,Operating,1982,Steel,Anton Schwarzkopf,Custom Looping Coaster,80 ft,1,Chain lift,,7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:18,,,Werner Stengel,,80Â ft (24Â m),40 mph ,64 km/h,40,mph,40,80,ft,,1,
