coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Acrobat (roller coaster),"3,349.8 ft ",55.9 mph,Nagashima Spa Land,Operating,2015,Steel Flying,Bolliger & Mabillard,Flying Coaster,141.1 ft ,4,Chain lift hill,,,,3:00,,,,,,55.9 mph ,90.0 km/h,55.9,mph,55.9,141.1,ft,,4,
Sky Scrapper,"2,805.1 ft",54.7 mph,World Joyland,Operating,2011,Steel Flying,Bolliger & Mabillard,Flying Coaster - Custom,131.3 ft,5,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Universe of Starship,2:06,,3.3,,,104.3Â ft (31.8Â m),54.7 mph ,88.0 km/h,54.7,mph,54.7,131.3,ft,,5,3.3
Manta (SeaWorld Orlando),"3,359 ft ",56 mph,SeaWorld Orlando,Operating,2009,Steel Flying,Bolliger & Mabillard,Flying Coaster,140 ft,4,Chain lift hill,"$50,000,000[1]",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Sea of Shallows,2:36,"1,500 riders per hour",3.7 [2],,,113Â ft (34Â m),56 mph ,90 km/h,56,mph,56,140,ft,,4,3.7
Nighthawk (roller coaster),"2,766 ft",51 mph ,Carowinds,Operating,2004,Steel Flying,Vekoma,Flying Dutchman,115 ft,5,Chain,"US$17,000,000",2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Celebration Plaza,1:50,1000 (Currently 192) riders per hour,4.3,,53Â°,103Â ft (31Â m),51 mph ,82 km/h,51,mph,51,115,ft,,5,4.3
Batwing (roller coaster),"3,340 ft",50 mph,Six Flags America,Operating,2001,Steel Flying,Vekoma,Flying Dutchman,115 ft,5,,,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Gotham City,2:02,850 riders per hour,4.3,Vekoma,33Â°,103Â ft (31Â m),50 mph ,80 km/h,50,mph,50,115,ft,,5,4.3
Grover's Alpine Express,600 ft,26.5 mph,Busch Gardens Williamsburg,Operating,2009,Steel Junior,Zierer,Force - 190,24 ft,0,,,,Sesame Street's Forest of Fun,,,,,,,26.5 mph ,42.6 km/h,26.5,mph,26.5,24,ft,,0,
Runaway Tram,921.9 ft,28.6 mph,Morey's Piers,Operating,2019,Steel Family,Zierer,Force - 281,36.1 ft ,0,Drive tire,"$4,000,000 ",Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Surfside Pier,,600 riders per hour,,,,,28.6 mph ,46.0 km/h,28.6,mph,28.6,36.1,ft,,0,
Tranan,"1,640.4 ft",24.9 mph,Skara Sommarland,Operating,2009,Steel Suspended,S&S Sansei Technologies,Free Fly,65.6 ft,0,Chain lift hill,SEK35 million[1],a single car. Riders are arranged 2 across in 4 rows for a total of 8 riders per train.,,64 seconds[2],900 riders per hour,2.5,,,,24.9 mph ,40.1 km/h,24.9,mph,24.9,65.6,ft,,0,2.5
Untamed (roller coaster),"1,181 ft ",44 mph ,Canobie Lake Park,Operating,2011,Steel Euro-Fighter,Gerstlauer,Gerstlauer Euro-Fighter 320+,72 ft,3,Chain,,,,0:51,850 riders per hour,4.5,,97Â°,,44 mph ,71 km/h,44,mph,44,72,ft,,3,4.5
Intimidator 305,"5,100 ft",90 mph,Kings Dominion,Operating,2010,Steel,Intamin,Giga Coaster,305 ft,0,Cable lift hill,$25 million[1][2],2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Jungle X-Pedition,3:00,"1,350 riders per hour",,,85Â°,300Â ft (91.4Â m),90 mph ,145 km/h,90,mph,90,305,ft,,0,
Millennium Force,"6,595 ft",93 mph,Cedar Point,Operating,2000,Steel,Intamin,Giga Coaster,310 ft,0,Cable lift hill,"US$25,000,000",3 trains with 9 cars. Riders are arranged 2 across in 2 rows for a total of 36 riders per train.,Millennium Midway,2:20,"1,300 riders per hour",4.5,Werner Stengel,80Â°,300Â ft (91Â m),93 mph ,150 km/h,93,mph,93,310,ft,,0,4.5
Half Pipe (roller coaster),229.7 ft,43.5 mph,Elitch Gardens,Operating,2004,Steel Launched Shuttle,Intamin,Half Pipe Coaster (30m),98.4 ft,0,LIM,,"Single train with 2 cars, each seating 8 riders",,2:00,,4.5,Werner Stengel,,,43.5 mph ,70.0 km/h,43.5,mph,43.5,98.4,ft,,0,4.5
Cliffhanger (Colorado roller coaster),,34 mph,Glenwood Caverns Adventure Park,Operating,2005,Steel,S&MC,Hurricane,56 ft ,0,,"$800,000 (USD)[1]",,,1:20,,,,,,34 mph ,55 km/h,34,mph,34,56,ft,,0,
Apollo's Chariot,"4,882 ft",73 mph,Busch Gardens Williamsburg,Operating,1999,Steel,Bolliger & Mabillard,Hyper Coaster,170 ft,0,Chain lift hill,US$20 million,3 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Festa Italia,2:15,"1,750 riders per hour",4.1,Werner Stengel,65Â°,210Â ft (64Â m),73 mph ,117 km/h,73,mph,73,170,ft,,0,4.1
Diamondback (Kings Island),"5,282 ft",80 mph,Kings Island,Operating,2009,Other,Bolliger & Mabillard,Hyper Coaster,230 ft,0,Chain lift hill,$22 million,3 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Rivertown,3:00,"1,620 riders per hour",4.2,,74Â°,215Â ft (66Â m),80 mph ,130 km/h,80,mph,80,230,ft,,0,4.2
Fury 325,"6,602 ft",95 mph,Carowinds,Operating,2015,Steel,Bolliger & Mabillard,Hyper Coaster,325 ft ,0,Chain lift hill,"$30,000,000 ",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Thrill Zone,,1470 riders per hour,,,81Â°,320Â ft (98Â m),95 mph ,153 km/h,95,mph,95,325,ft,,0,
Goliath (La Ronde),"4,038.8 ft",68.4 mph ,La Ronde,Operating,2006,Steel,Bolliger & Mabillard,Hyper Coaster,174.8 ft ,0,Chain lift hill,"$18,700,000 ",2 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,,3:00,,,,70Â°,170.6Â ft (52.0Â m),68.4 mph ,110.1 km/h,68.4,mph,68.4,174.8,ft,,0,
Goliath (Six Flags Over Georgia),"4,480 ft",70 mph,Six Flags Over Georgia,Operating,2006,Steel,Bolliger & Mabillard,Hyper Coaster,200 ft,0,Chain lift hill,"$20,000,000 ",2 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,USA Section,3:30,"1,220 riders per hour",,,59Â°,175Â ft (53Â m),70 mph ,113 km/h,70,mph,70,200,ft,,0,
Intimidator (roller coaster),"5,316 ft",75 mph,Carowinds,Operating,2010,Steel,Bolliger & Mabillard,Hyper Coaster,232 ft,0,Lift hill,"US$ 23,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Celebration Plaza,3:33,"1,600 riders per hour",4.3,,74Â°,211Â ft (64Â m),75 mph ,121 km/h,75,mph,75,232,ft,,0,4.3
Magnum XL-200,"5,106 ft",72 mph,Cedar Point,Operating,1989,Steel,Arrow Dynamics,Hyper Coaster,205 ft,0,Chain lift hill,"US$ 8,000,000",3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,Gemini Midway,2:00,"2,000 riders per hour",,Ron Toomer,60Â°,194.7Â ft (59.3Â m),72 mph ,116 km/h,72,mph,72,205,ft,,0,
Mako (roller coaster),"4,760 ft",73 mph,SeaWorld Orlando,Operating,2016,Steel,Bolliger & Mabillard,Hyper Coaster,200 ft,0,Chain,,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Sea of Mystery,,,,,,200Â ft (61Â m),73 mph ,117 km/h,73,mph,73,200,ft,,0,
Nitro (Six Flags Great Adventure),"5,394 ft",80 mph,Six Flags Great Adventure,Operating,2001,Steel,Bolliger & Mabillard,Hyper Coaster,230 ft ,0,Chain lift hill,"$20,000,000 ",3 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Adventure Seaport,2:20,1800 riders per hour,4.3,,68Â°,215Â ft (66Â m),80 mph ,130 km/h,80,mph,80,230,ft,,0,4.3
Orion,"5,321 ft",91 mph ,Kings Island,Operating,2020,Steel,Bolliger & Mabillard,Hyper Coaster,287 ft,0,Chain lift hill,$30 Million,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Area 72,3:00,"1,650 riders per hour",,,85[1]Â°,300Â ft (91Â m),91 mph ,146 km/h,91,mph,91,287,ft,,0,
Phantom's Revenge,"3,200 ft",85 mph,Kennywood,Operating,1991,Steel,D. H. Morgan Manufacturing,Hyper Coaster,160 ft,0,Chain lift hill,$4.6 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost Kennywood,1:57,1400 riders per hour,3.5,,52Â°,228Â ft (69Â m),85 mph ,137 km/h,85,mph,85,160,ft,,0,3.5
Raging Bull (roller coaster),"5,057 ft",73 mph,Six Flags Great America,Operating,1999,Steel,Bolliger & Mabillard,Hyper Coaster,202 ft,0,Chain lift hill,"$25,000,000[1]",3 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Southwest Territory,2:30,1560 riders per hour,,Werner Stengel,65Â°,208Â ft (63Â m),73 mph ,117 km/h,73,mph,73,202,ft,,0,
Steel Force,"5,600 ft ",75 mph,Dorney Park & Wildwater Kingdom,Operating,1997,Steel,D. H. Morgan Manufacturing,Hyper Coaster,200 ft,0,Chain lift hill,"US$10,000,000",3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,,3:00,"1,700 riders per hour",3.4,Steve Okamoto,61Â°,205Â ft (62Â m),75 mph ,121 km/h,75,mph,75,200,ft,,0,3.4
Steel Phantom,"3,200 ft",85 mph,Kennywood,Operating,1991,Steel,D. H. Morgan Manufacturing,Hyper Coaster,160 ft,0,Chain lift hill,$4.6 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost Kennywood,1:57,1400 riders per hour,3.5,,52Â°,228Â ft (69Â m),85 mph ,137 km/h,85,mph,85,160,ft,,0,3.5
The Big One (roller coaster),"5,497 ft ",74 mph,Blackpool Pleasure Beach,Operating,1994,Steel,Arrow Dynamics,Hyper Coaster,213 ft,0,Chain lift hill,Â£12 million,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,3:00,"1,700 riders per hour",3.5,Ron Toomer,65Â°,205Â ft (62Â m),74 mph ,119 km/h,74,mph,74,213,ft,,0,3.5
Titan (Six Flags Over Texas),"5,312 ft",85 mph,Six Flags Over Texas,Operating,2001,Steel,Giovanola,Hyper Coaster,245 ft,0,Chain lift hill,,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Texas,3:30,1600 riders per hour,,Werner Stengel,,255Â ft (78Â m),85 mph ,137 km/h,85,mph,85,245,ft,,0,
Fujiyama (roller coaster),"6,709 ft",81 mph,Fuji-Q Highland,Operating,1996,Steel,TOGO,Hyper Coaster,259 ft,0,Chain,"$40,000,000 ",,,3:36,"1,100 riders per hour",3.5,Morgan,65Â°,230Â ft (70Â m),81 mph ,130 km/h,81,mph,81,259,ft,,0,3.5
Mamba (roller coaster),"5,600 ft ",75 mph,Worlds of Fun,Operating,1998,Steel,D. H. Morgan Manufacturing,Hyper Coaster,205 ft,0,Chain lift hill,$10 million,3 trains with 6 cars. Riders are arranged 3 across in 2 rows for a total of 36 riders per train.,Africa,3:00,1700 riders per hour,3.5,Steve Okamoto,66Â°,205Â ft (62Â m),75 mph ,121 km/h,75,mph,75,205,ft,,0,3.5
Superman El Ãšltimo Escape,"5,577.4 ft ",74.6 mph,Six Flags Mexico,Operating,2004,Steel,D. H. Morgan Manufacturing,Hyper Coaster,219.8 ft,0,Chain,,3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,Pueblo Mexicano,3:04,"1,600 riders per hour",,,60Â°,205Â ft (62Â m),74.6 mph ,120.1 km/h,74.6,mph,74.6,219.8,ft,,0,
Wild Thing (Valleyfair),"5,460 ft ",75 mph,Valleyfair,Operating,1996,Steel,D. H. Morgan Manufacturing,Hyper Coaster,207 ft ,0,Chain-lift,"$9,500,000 USD",3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,South Midway,3:00,"1,700 riders per hour",4.1,Steve Okamoto,60Â°,196Â ft (60Â m),75 mph ,121 km/h,75,mph,75,207,ft,,0,4.1
ArieForce One,"3,400 ft ",64 mph,Fun Spot America - Atlanta,Operating,2023,Steel,Rocky Mountain Construction,I-Box,154 ft ,4,Chain lift hill,"$13,000,000 USD[1]",2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,1:40,900 riders per hour,3.75,Joe Draves,83Â°,146Â ft (45Â m),64 mph ,103 km/h,64,mph,64,154,ft,,4,3.75
Cyclone (Six Flags New England),"3,320 ft",55 mph,Six Flags New England,Operating,2015,Steel,Rocky Mountain Construction,I-Box,109 ft,3,Chain lift hill,US$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,North End,,,,Alan Schilke,78Â°,,55 mph ,89 km/h,55,mph,55,109,ft,,3,
Iron Rattler,"3,266 ft",70 mph,Six Flags Fiesta Texas,Operating,2013,Steel,Rocky Mountain Construction,I-Box,179 ft,1,Chain lift hill,US$10 million[1],2 Gerstlauer trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Crackaxle Canyon,,850 riders per hour,,Alan Schilke,81Â°,171Â ft (52Â m),70 mph ,110 km/h,70,mph,70,179,ft,,1,
Medusa Steel Coaster,"3,000 ft",58 mph,Six Flags Mexico,Operating,2014,Steel,Rocky Mountain Construction,I-Box,118 ft,3,Chain lift hill,,2 Rocky Mountain Construction trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pueblo Vaquero,1:45,,,Alan Schilke,54Â°,100Â ft (30Â m),58 mph ,93 km/h,58,mph,58,118,ft,,3,
The Joker (Six Flags Discovery Kingdom),"3,200 ft",53 mph,Six Flags Discovery Kingdom,Operating,2016,Other,Rocky Mountain Construction,I-Box,100 ft,3,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,DC Universe,2:00,,,Alan Schilke,78Â°,,53 mph ,85 km/h,53,mph,53,100,ft,,3,
Twisted Cyclone,"2,400 ft",50 mph,Six Flags Over Georgia,Operating,2018,Steel,Rocky Mountain Construction,I-Box,100 ft,3,Chain,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,,Alan Schilke,75Â°,,50 mph ,80 km/h,50,mph,50,100,ft,,3,
Twisted Cyclone,"2,400 ft",50 mph,Six Flags Over Georgia,Operating,2018,Steel,Rocky Mountain Construction,I-Box,100 ft,3,Chain,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,,Alan Schilke,75Â°,,50 mph ,80 km/h,50,mph,50,100,ft,,3,
Twisted Timbers,"3,351 ft ",54 mph,Kings Dominion,Operating,2018,Steel,Rocky Mountain Construction,I-Box,111 ft ,3,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Candy Apple Grove,,,,Alan Schilke,,109Â ft (33Â m),54 mph ,87 km/h,54,mph,54,111,ft,,3,
Wicked Cyclone,"3,320 ft",55 mph,Six Flags New England,Operating,2015,Steel,Rocky Mountain Construction,I-Box,109 ft,3,Chain lift hill,US$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,North End,,,,Alan Schilke,78Â°,,55 mph ,89 km/h,55,mph,55,109,ft,,3,
Colossus (Six Flags Magic Mountain),"4,990 ft ",57 mph,Six Flags Magic Mountain,Operating,2015,Steel,Rocky Mountain Construction,I-Box Custom,121 ft,2,Chain lift hill,,4 (3 max. in use) trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Screampunk District,3:40,,,Alan Schilke,80Â°,128Â ft (39Â m),57 mph ,92 km/h,57,mph,57,121,ft,,2,
New Texas Giant,"4,200 ft ",65 mph,Six Flags Over Texas,Operating,2011,Steel,Rocky Mountain Construction,I-Box Custom,153 ft ,0,Chain lift hill,US$10 million,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Texas,3:25,1600 riders per hour,4.2,Alan Schilke,79Â°,147Â ft (45Â m),65 mph ,105 km/h,65,mph,65,153,ft,,0,4.2
Texas Giant,"4,200 ft ",65 mph,Six Flags Over Texas,Operating,2011,Steel,Rocky Mountain Construction,I-Box Custom,153 ft ,0,Chain lift hill,US$10 million,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Texas,3:25,1600 riders per hour,4.2,Alan Schilke,79Â°,147Â ft (45Â m),65 mph ,105 km/h,65,mph,65,153,ft,,0,4.2
Storm Chaser (roller coaster),"2,744 ft",52 mph,Kentucky Kingdom,Operating,2016,Steel,Rocky Mountain Construction,I-Box Custom,100 ft,3,Chain lift hill,$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:40,960 riders per hour,3.8,Alan Schilke,78Â°,,52 mph ,84 km/h,52,mph,52,100,ft,,3,3.8
Storm Chaser (roller coaster),"2,744 ft",52 mph,Kentucky Kingdom,Operating,2016,Steel,Rocky Mountain Construction,I-Box Custom,100 ft,3,Chain lift hill,$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:40,960 riders per hour,3.8,Alan Schilke,78Â°,,52 mph ,84 km/h,52,mph,52,100,ft,,3,3.8
Twisted Colossus,"4,990 ft ",57 mph,Six Flags Magic Mountain,Operating,2015,Steel,Rocky Mountain Construction,I-Box Custom,121 ft,2,Chain lift hill,,4 (3 max. in use) trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Screampunk District,3:40,,,Alan Schilke,80Â°,128Â ft (39Â m),57 mph ,92 km/h,57,mph,57,121,ft,,2,
Untamed (Walibi Holland),3559.7 ft,57.2 mph,Walibi Holland,Operating,2019,Steel,Rocky Mountain Construction,I-Box,119.8 ft,5,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Wilderness,1:46,900 riders per hour,,Alan Schilke,80Â°,116.1 ft,57.2 mph,,57.2,mph,57.2,119.8,ft,,5,
Untamed (Walibi Holland),3559.7 ft,57.2 mph,Walibi Holland,Operating,2019,Steel,Rocky Mountain Construction,I-Box,119.8 ft,5,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Wilderness,1:46,900 riders per hour,,Alan Schilke,80Â°,116.1 ft,57.2 mph,,57.2,mph,57.2,119.8,ft,,5,
Iron Gwazi,"4,075 ft",76 mph,Busch Gardens Tampa Bay,Operating,2022,Steel Wooden,Rocky Mountain Construction,I-Box,206 ft,2,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Morocco,1:50,,,Alan Schilke,91Â°,206Â ft (63Â m),76 mph ,122 km/h,76,mph,76,206,ft,,2,
Steel Vengeance,"5,740 ft",74 mph,Cedar Point,Operating,2018,Steel,Rocky Mountain Construction,I-Box,205 ft,4,Chain lift,,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Frontier Town,2:30,"1,200 riders per hour",,Alan Schilke,90Â°,200Â ft (61Â m),74 mph ,119 km/h,74,mph,74,205,ft,,4,
The Underground (roller coaster),911 ft,,Adventureland (Iowa),Operating,1996,Wood,Custom Coasters International,Indoor Freeform,13 ft,0,Chain-lift,,,,2 minutes,,,"Custom Coasters, Inc., Larry Bill, Dennis McNulty",,,,,,,,13,ft,,0,
Skull Mountain,"1,377 ft",33 mph,Six Flags Great Adventure,Operating,1996,Steel Enclosed,Intamin,Indoor Roller Coaster,40.5 ft ,0,Drive tire lift hill,$5 million[1],3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lakefront,1:24,1596[2] riders per hour,2.3,,,37Â ft (11Â m),33 mph ,53 km/h,33,mph,33,40.5,ft,,0,2.3
Gold Rush (Slagharen),,59 mph,Attractiepark Slagharen,Operating,2017,Steel Launched,Gerstlauer,Infinity Coaster,108.3 ft,2,Linear motor launch,"â‚¬5,000,000",Single train with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,,,800 riders per hour,,,,,59 mph ,95 km/h,59,mph,59,108.3,ft,,2,
HangTime (roller coaster),"2,198 ft",57 mph,Knott's Berry Farm,Operating,2018,Steel,Gerstlauer,Infinity Coaster,150 ft,5,Vertical chain lift hill,,3 trains with 4 cars. Riders are arranged 4 across in a single row for a total of 16 riders per train.,The Boardwalk,,800 riders per hour,,,96Â°,,57 mph ,92 km/h,57,mph,57,150,ft,,5,
Junker (roller coaster),"2,821.5 ft",64.9 mph,PowerPark,Operating,2015,Steel Launched,Gerstlauer,Infinity Coaster,131.3 ft,3,Linear synchronous motor Launch,,,,1:00[1],,4.5,,,,64.9 mph ,104.4 km/h,64.9,mph,64.9,131.3,ft,,3,4.5
Mystic (roller coaster),,52.8 mph,Walibi RhÃ´ne-Alpes,Operating,2019,Steel,Gerstlauer,Infinity Coaster,101.7 ft,3,Chain lift hill,"â‚¬6,000,000",2 trains with 3 cars. Riders are arranged 4 across in a single row for a total of 12 riders per train.,Festival City,1:45,600 riders per hour,,,,,52.8 mph ,85.0 km/h,52.8,mph,52.8,101.7,ft,,3,
Alpengeist,"3,828 ft",67 mph ,Busch Gardens Williamsburg,Operating,1997,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,195 ft,6,Chain lift hill,$20 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Rhinefeld,3:10,1820 riders per hour,3.7,Werner Stengel,79Â°,170Â ft (52Â m),67 mph ,108 km/h,67,mph,67,195,ft,,6,3.7
Banshee (roller coaster),"4,124 ft ",68 mph,Kings Island,Operating,2014,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,167 ft,7,Chain lift hill,"US$24,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Action Zone,2:40,"1,650 riders per hour",,,,150Â ft (46Â m),68 mph ,109 km/h,68,mph,68,167,ft,,7,
Black Mamba (roller coaster),"2,519 ft",49.7 mph,Phantasialand,Operating,2006,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,85.3 ft ,4,Chain lift,,,Deep in Africa,,1500 riders per hour,4G,,,,49.7 mph ,80.0 km/h,49.7,mph,49.7,85.3,ft,,4,4
Great Bear (roller coaster),"2,800 ft",58 mph,Hersheypark,Operating,1998,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,90 ft ,4,Chain Lift,"US$13,000,000",2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:55,1300 riders per hour,,Werner Stengel,,124Â ft (38Â m),58 mph ,93 km/h,58,mph,58,90,ft,,4,
Katun (roller coaster),"3,937 ft",65 mph,Mirabilandia,Operating,2000,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,164.1 ft,6,Chain lift hill,,,,2:22,1700 riders per hour,4,Werner Stengel,,147.8Â ft (45.0Â m),65 mph ,105 km/h,65,mph,65,164.1,ft,,6,4
Monster (Grona Lund),"2,296.6 ft",55.9 mph,Grona Lund,Operating,2021,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,111.5 ft,3,Chain lift hill,450 million SEK (= approx. â‚¬44.3Â million)[1],2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Tyrolen,,,4.5,,,,55.9 mph ,90.0 km/h,55.9,mph,55.9,111.5,ft,,3,4.5
Patriot (Worlds of Fun),"3,081 ft ",60 mph,Worlds of Fun,Operating,2006,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,149 ft ,4,Chain lift,"US$14,000,000",2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Americana,2:18,1160 riders per hour,,,,123Â ft (37Â m),60 mph ,97 km/h,60,mph,60,149,ft,,4,
Phaethon (roller coaster),"3,280.83 ft ",55.9 mph,Gyeongju World,Operating,2007,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,147.67 ft,6,,,,,2:20,,,,,,55.9 mph ,90.0 km/h,55.9,mph,55.9,147.67,ft,,6,
Silver Bullet (Knott's Berry Farm),"3,125 ft ",55 mph,Knott's Berry Farm,Operating,2004,Steel Inverted,Bolliger & Mabillard,Inverted coaster,146 ft ,6,Chain lift,"US$16,000,000",3 (max. 2 in operation) trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Ghost Town,2:30,1300 riders per hour,3,,40Â°,109Â ft (33Â m),55 mph ,89 km/h,55,mph,55,146,ft,,6,3
Talon (roller coaster),"3,110 ft ",58 mph,Dorney Park & Wildwater Kingdom,Operating,2001,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,135 ft,4,Chain lift hill,"$13,000,000 USD",2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:00,1200 riders per hour,4.5,Werner Stengel,50Â°,120Â ft (37Â m),58 mph ,93 km/h,58,mph,58,135,ft,,4,4.5
Goliath (Six Flags Fiesta Texas),"2,693 ft",50 mph,Six Flags Fiesta Texas,Operating,2008,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,105 ft,5,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,2:00,1400 riders per hour,4,Werner Stengel,,80Â ft (24Â m),50 mph ,80 km/h,50,mph,50,105,ft,,5,4
Raptor (Cedar Point),"3,790 ft",57 mph,Cedar Point,Operating,1994,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,137 ft,6,Chain lift hill,"$11,500,000 - $12,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Main Midway,2:16,"1,600 riders per hour",,Werner Stengel,45Â°,119Â ft (36Â m),57 mph ,92 km/h,57,mph,57,137,ft,,6,
The Monster (Walygator Parc),"3,937 ft",55.9 mph,Waylgator Parc,Operating,2010,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,131.3 ft,6,,$7 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:28,,,Werner Stengel,,,55.9 mph ,90.0 km/h,55.9,mph,55.9,131.3,ft,,6,
Batman: Arkham Asylum (roller coaster),,49.7 mph,Parque Warner Madrid,Operating,2002,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,105 ft,5,Chain lift hill,,,DC Super Heroes World,1:15,,4.9,,,,49.7 mph ,80.0 km/h,49.7,mph,49.7,105,ft,,5,4.9
Diavlo,"2,606 ft",48.5 mph,Himeji Central Park,Operating,1994,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,108.25 ft,5,,,,,1:48,,,,,,48.5 mph ,78.1 km/h,48.5,mph,48.5,108.25,ft,,5,
Le Vampire,"2,700.2 ft ",50 mph,La Ronde,Operating,2002,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,105 ft,5,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,1:13 minutes,1400 riders per hour,4,,,,50 mph ,80 km/h,50,mph,50,105,ft,,5,4
